[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 10
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 10
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/gumbo/includes/db/conn_header.php on line 14
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Warning:  require(/includes/routes/routes.php) [<a href='0function.require0'>function.require0</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:34:12 Europe/Berlin] PHP Fatal error:  require() [<a href='0function.require0'>function.require0</a>]: Failed opening required '/includes/routes/routes.php' (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:35:39 Europe/Berlin] PHP Warning:  require() [<a href='0function.require0'>function.require0</a>]: http:// wrapper is disabled in the server configuration by allow_url_include=0 in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:35:39 Europe/Berlin] PHP Warning:  require(http://localhost/gumbo/app//includes/routes/routes.php) [<a href='0function.require0'>function.require0</a>]: failed to open stream: no suitable wrapper could be found in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
[28-Apr-2014 08:35:39 Europe/Berlin] PHP Fatal error:  require() [<a href='0function.require0'>function.require0</a>]: Failed opening required 'http://localhost/gumbo/app//includes/routes/routes.php' (include_path='.:/Applications/MAMP/bin/php/php5.5.3/lib/php') in /Applications/MAMP/htdocs/gumbo/app/index.php on line 3
